Player,Sim,1,2,3,4,5,6,7,8,9
Shelden Williams,,2.2,2.1,2.0,1.9,1.2,0.5,,,
Mark Acres,87.5,2.5,2.2,1.9,1.6,0.9,0.3,,,
Willie Burton,82.0,2.6,2.1,2.0,1.6,0.5,0.2,0.1,-0.1,
David Wood,81.2,2.8,2.3,2.2,1.3,1.0,0.5,0.0,,
Steve Kuberski,78.8,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0
McCoy McLemore,78.4,2.7,2.1,1.8,1.7,0.7,0.4,0.4,-0.3,
Mark Landsberger,78.0,3.4,2.2,2.2,1.9,1.7,0.4,0.3,,
Al Tucker,76.9,3.5,2.3,2.3,2.1,1.1,,,,
Jarvis Hayes,76.6,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,
Lew Hitch,75.4,3.3,2.7,2.2,2.2,1.2,,,,
Wally Walker,75.0,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,
