Offensive Win Shares
2000-01 NBA 8.3 (9th)
2001-02 NBA 8.1 (10th)
2002-03 NBA 13.2 (1st)
2003-04 NBA 8.1 (8th)
Career NBA 60.9 (89th)
Career 60.9 (92nd)
