MVP Award Shares
2000-01 NBA 0.052 (6)
2001-02 NBA 0.310 (4)
2002-03 NBA 0.359 (4)
2004-05 NBA 0.035 (7)
2006-07 NBA 0.085 (6)
2007-08 NBA 0.015 (8)
Career 0.855 (38)
