Free Throw Attempts
2000-01 NBA 587 (7th)
2001-02 NBA 555 (8th)
2002-03 NBA 726 (3rd)
2003-04 NBA 500 (9th)
Career NBA 5202 (71st)
Career 5202 (76th)
