Field Goal Attempts
2000-01 NBA 1724 (4th)
2001-02 NBA 1586 (5th)
2002-03 NBA 1813 (3rd)
2003-04 NBA 1566 (2nd)
2004-05 NBA 1660 (3rd)
2006-07 NBA 1480 (5th)
Career NBA 15413 (52nd)
Career 15413 (55th)
