Offensive Box Plus/Minus
2001-02 NBA 5.2 (4th)
2002-03 NBA 9.8 (1st)
2003-04 NBA 7.9 (1st)
2004-05 NBA 4.9 (9th)
Career NBA 3.9 (23rd)
Career 3.9 (24th)
