Points Per Game
2000-01 NBA 26.8 (7th)
2001-02 NBA 25.6 (4th)
2002-03 NBA 32.1 (1st)
2003-04 NBA 28.0 (1st)
2004-05 NBA 25.7 (6th)
2006-07 NBA 24.6 (10th)
Career NBA 19.6 (61st)
Career 19.6 (67th)
