Value Over Replacement Player
2000-01 NBA 5.9 (7th)
2001-02 NBA 5.9 (5th)
2002-03 NBA 8.7 (2nd)
2003-04 NBA 5.3 (5th)
2004-05 NBA 7.0 (3rd)
2006-07 NBA 5.2 (7th)
Career NBA 50.6 (29th)
Career 50.6 (30th)
