Player Efficiency Rating
2000-01 NBA 24.9 (3rd)
2001-02 NBA 25.1 (3rd)
2002-03 NBA 30.3 (1st)
2003-04 NBA 25.3 (3rd)
Career NBA 22.1 (30th)
Career 22.1 (30th)
