Field Goals Missed
2000-01 NBA 936 (5th)
2001-02 NBA 871 (4th)
2002-03 NBA 984 (3rd)
2003-04 NBA 913 (1st)
2004-05 NBA 945 (2nd)
2006-07 NBA 842 (5th)
2007-08 NBA 759 (10th)
Career NBA 8704 (43rd)
Career 8704 (46th)
