Player,Sim,1,2,3,4,5,6,7,8,9,10
Kenneth Faried,,7.8,6.5,5.6,5.5,4.6,,,,,
Chandler Parsons,89.6,7.6,7.0,5.5,4.3,3.4,,,,,
Curtis Rowe,85.3,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0.0,,
Trooper Washington,84.6,8.3,6.9,6.3,6.0,3.4,2.2,,,,
Tristan Thompson,84.0,8.7,6.8,5.7,5.2,1.1,,,,,
Gene Banks,82.6,7.9,6.2,5.6,4.3,3.6,3.5,,,,
Julian Hammond,82.0,6.7,6.6,5.7,5.1,0.8,,,,,
Reggie Williams,81.8,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0.0,-1.1
Kermit Washington,81.5,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
Danilo Gallinari,81.2,7.2,6.3,6.1,5.6,3.9,3.9,1.0,,,
Gordon Hayward,80.8,8.9,8.7,5.4,4.9,3.6,1.2,,,,
