2-Pt Field Goals
1999-00 NBA 630 (10th)
2004-05 NBA 629 (6th)
2005-06 NBA 755 (2nd)
2006-07 NBA 644 (5th)
Career NBA 6597 (65th)
Career 6597 (69th)
