Blocks Per Game
2002-03 NBA 2.5 (4th)
2003-04 NBA 2.2 (10th)
2004-05 NBA 2.1 (9th)
2005-06 NBA 2.5 (5th)
2006-07 NBA 2.2 (7th)
Career NBA 1.7 (36th)
Career 1.7 (37th)
