2-Pt Field Goal Attempts
1999-00 NBA 1304 (9th)
2004-05 NBA 1248 (6th)
2005-06 NBA 1432 (4th)
2006-07 NBA 1210 (7th)
Career NBA 13164 (80th)
Career 13164 (87th)
