Rebounds Per Game
1999-00 NBA 10.0 (7th)
2000-01 NBA 10.1 (10th)
2001-02 NBA 11.6 (5th)
2005-06 NBA 10.0 (7th)
2006-07 NBA 9.3 (10th)
