Value Over Replacement Player
2001-02 NBA 6.2 (3rd)
2003-04 NBA 4.8 (7th)
2004-05 NBA 4.8 (10th)
2005-06 NBA 6.5 (4th)
2006-07 NBA 5.5 (5th)
Career NBA 45.2 (36th)
Career 45.2 (38th)
