Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,21,CHI,NBA,PF,74,2906,,,2%,72%,26%,-8.7,+6.1,64,77,78,100,,34,,543,192,47,95
2001-02,22,LAC,NBA,PF,80,3020,,,,79%,21%,+0.7,+5.2,49,64,60,122,,26,,447,232,73,72
2002-03,23,LAC,NBA,PF,62,2454,,,,93%,7%,-3.1,+3.8,44,53,63,88,,23,,364,151,48,60
2003-04,24,LAC,NBA,PF,69,2670,,,,82%,18%,-4.5,+1.7,56,73,64,120,,33,,504,237,55,62
2004-05,25,LAC,NBA,PF,81,3001,,,1%,94%,5%,+2.4,+13.0,34,63,86,127,,36,,441,225,70,81
2005-06,26,LAC,NBA,PF,79,3099,,,1%,85%,14%,+2.8,+4.6,45,69,59,113,,22,,459,248,76,76
2006-07,27,LAC,NBA,PF,80,3077,,,12%,74%,14%,-0.4,+0.8,47,78,77,124,,26,,523,218,68,56
2007-08,28,LAC,NBA,PF,8,274,,,,58%,42%,-17.2,-9.6,5,8,4,15,,1,,38,23,7,10
2008-09,29,PHI,NBA,PF,29,920,,,,73%,27%,-0.4,-0.4,21,22,25,43,,8,,86,56,12,20
2009-10,30,PHI,NBA,PF,76,2297,,,,79%,21%,-2.4,+5.6,22,56,53,116,,22,,258,126,36,55
2010-11,31,PHI,NBA,PF,81,2809,,,,61%,39%,+2.1,+1.2,16,48,37,135,,12,,272,126,27,49
2011-12,32,PHI,NBA,C,60,1732,,,,47%,53%,+6.3,+3.3,15,24,26,106,,13,,221,63,18,31
2012-13,33,DAL,NBA,C,72,1527,,,,30%,70%,-1.3,-0.9,21,23,13,105,,5,1,169,46,17,21
2013-14,34,ATL,NBA,C,73,1414,,,,6%,94%,-1.1,-1.2,19,22,19,111,5,9,1,178,44,10,14
2014-15,35,ATL,NBA,C,36,486,,,1%,32%,67%,+1.9,-4.4,9,4,5,28,1,4,0,54,8,1,4
2015-16,36,PHI,NBA,C,17,225,,,,10%,90%,-7.2,+3.7,1,8,0,17,4,0,0,47,4,3,2
