Player,Sim,1,2,3,4,5
Isaiah Thomas,,9.7,7.7,6.1,5.0,4.3
Andy Phillip,93.9,9.7,7.7,7.4,4.8,3.8
Rolando Blackman,93.4,9.8,7.3,7.0,5.7,4.1
Doc Rivers,93.1,10.3,8.3,6.3,4.2,4.2
Norm Nixon,93.1,9.6,6.7,6.6,5.5,4.5
Phil Smith,91.5,9.4,7.0,6.3,5.2,2.9
Michael Finley,91.4,8.3,7.5,6.3,5.4,3.9
Kyrie Irving,91.3,10.4,6.7,5.3,5.0,4.1
Sam Jones,91.1,9.6,8.1,5.9,5.3,2.1
Kirk Hinrich,90.4,10.1,7.6,7.2,4.1,3.6
Reggie Theus,90.4,9.2,6.9,6.5,5.3,3.2
