Player,Sim,1,2,3,4,5,6,7,8,9,10
Isaiah Thomas,,9.7,7.7,6.1,5.0,4.3,,,,,
Kyrie Irving,91.3,10.4,6.7,5.3,5.0,4.1,,,,,
Doug Collins,85.2,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,
Klay Thompson,84.6,8.8,8.0,6.7,4.3,1.7,,,,,
Goran Dragic,83.8,10.3,6.8,5.7,5.1,4.7,2.8,1.0,0.1,,
John Wall,83.4,7.9,7.8,5.7,4.5,3.5,2.2,,,,
Micheal Williams,82.6,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2
John Logan,81.5,9.2,8.3,5.2,4.3,1.0,,,,,
Glen Combs,81.3,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,
Reggie Lewis,81.0,9.1,8.3,7.5,6.9,6.7,0.4,,,,
Darel Carrier,80.4,8.7,8.0,7.8,4.9,0.9,0.2,,,,
