Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,28,TOR,NBA,PG,1,1,25:35,4,13,.308,2,11,.182,0,0,,1,3,8,4,0,1,0,10
2015-16,29,TOR,NBA,PG,1,1,28:31,5,13,.385,4,12,.333,0,0,,0,5,10,2,1,6,2,14
2016-17,30,TOR,,PG,,0,,,,,,,,,,,,,,,,,,
