Offensive Box Plus/Minus
2013-14 NBA 5.8 (7th)
2014-15 NBA 4.2 (9th)
2015-16 NBA 6.2 (7th)
2016-17 NBA 7.7 (5th)
Active 3.7 (9th)
Career NBA 3.7 (26th)
Career 3.7 (27th)
