Player,Sim,1,2,3,4,5,6,7,8,9,10
Kyle Lowry,,11.7,11.6,7.1,7.0,5.6,4.9,4.3,3.6,3.4,0.5
Terrell Brandon,89.4,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.2,2.9,0.9
Steve Francis,88.8,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,
Archie Clark,88.2,11.4,11.0,8.1,7.9,6.2,6.2,5.6,4.0,2.7,1.7
Kevin Martin,87.7,10.2,9.5,8.4,7.0,5.5,5.3,4.7,4.2,3.3,0.1
Dave Bing,85.3,11.7,8.6,7.3,6.3,6.2,5.3,5.3,5.3,4.5,1.7
Richie Guerin,84.8,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,3.5,1.7
Gail Goodrich,84.7,12.3,8.1,7.8,6.7,6.4,6.3,5.5,4.4,3.6,0.7
Gus Williams,84.1,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8
Michael Redd,84.0,10.8,9.7,8.0,6.2,6.1,5.8,4.6,3.2,0.6,-0.1
Andy Phillip,83.7,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,
