Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,162,5,1884,6.9,14.9,.466,0.0,0.1,.200,6.9,14.8,.469,4.0,6.1,.657,5.0,8.4,13.4,1.1,1.0,1.7,3.0,9.1,17.9,,99,103
2 seasons,,CHI,NBA,,69,1,829,7.6,15.8,.482,0.1,0.2,.333,7.6,15.6,.484,4.7,6.9,.676,4.7,7.7,12.4,1.3,0.6,1.7,3.5,10.3,20.0,,100,106
1 season,,TOR,NBA,,36,4,487,6.8,14.5,.469,0.0,0.1,.000,6.8,14.4,.472,3.4,6.4,.536,4.8,9.0,13.7,1.1,1.6,2.0,2.5,7.8,17.0,,98,98
1 season,,HOU,NBA,,23,0,281,6.4,14.0,.458,0.0,0.0,,6.4,14.0,.458,3.1,3.7,.842,7.4,8.9,16.3,0.4,1.7,1.4,2.5,9.3,15.9,,106,101
1 season,,CHA,NBA,,18,0,119,5.2,13.8,.375,0.0,0.0,,5.2,13.8,.375,5.2,6.9,.750,3.0,11.2,14.2,0.9,0.9,0.4,3.0,3.5,15.5,,91,107
1 season,,WAS,NBA,,12,0,132,6.3,12.6,.500,0.0,0.4,.000,6.3,12.2,.516,3.5,4.7,.750,4.3,7.9,12.2,2.0,0.8,2.0,2.0,9.1,16.2,,113,105
1 season,,NOH,NBA,,4,0,36,4.6,16.7,.273,0.0,0.0,,4.6,16.7,.273,0.0,3.0,.000,6.1,6.1,12.2,0.0,0.0,0.0,6.1,15.2,9.1,,52,112
