Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ronnie Price,,1.4,1.1,0.9,0.7,0.4,0.1,0.1,0.1,-0.1,-0.2,-0.7
Brook Steppe,74.0,1.3,1.1,1.0,0.7,0.6,,,,,,
Jannero Pargo,64.1,2.0,1.3,1.1,0.5,0.2,0.2,0.1,0.1,-0.1,-0.2,-0.3
Rex Walters,63.4,1.6,1.6,1.2,0.9,0.5,0.4,0.3,,,,
Howard Komives,62.4,1.5,1.4,1.0,0.9,0.7,0.3,0.2,0.1,-0.1,-0.8,
John Warren,61.5,1.7,0.9,0.8,0.5,0.3,,,,,,
Todd Lichti,60.2,1.8,1.3,1.2,1.0,0.2,,,,,,
Lloyd Walton,57.8,1.9,1.1,1.1,1.1,0.1,,,,,,
Steve Henson,57.4,1.2,1.1,1.0,0.2,0.1,0.0,0.0,,,,
Dion Glover,57.1,2.6,1.1,0.9,0.8,0.3,0.2,,,,,
John Wetzel,56.7,2.0,1.5,1.1,0.7,0.5,0.5,0.4,,,,
