Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,23,IND,NBA,PF,20,0,108,6.3,14.0,.452,0.3,2.0,.167,6.0,12.0,.500,6.0,7.7,.783,3.3,6.3,9.7,2.0,1.7,0.7,1.7,6.0,19.0
2015-16,24,IND,NBA,PF,7,0,41,4.4,9.7,.455,0.0,1.8,.000,4.4,7.9,.556,0.9,1.8,.500,4.4,6.1,10.5,2.6,0.9,0.9,4.4,6.1,9.7
