Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,13,89,.529,10.7,.824,.471,.059,.059,.235,.176,.571,.625,.000,1.000,.500,.333,.125,.000,0,1.000,.667,.500,0,0
2 seasons,,ATL,NBA,,13,89,.529,10.7,.824,.471,.059,.059,.235,.176,.571,.625,.000,1.000,.500,.333,.125,.000,0,1.000,.667,.500,0,0
