3-Pt Field Goal Attempts
2008-09 NBA 450 (6th)
2009-10 NBA 438 (4th)
2010-11 NBA 407 (7th)
2011-12 NBA 323 (8th)
Career NBA 2644 (99th)
Career 2644 (99th)
