Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Omri Casspi,,3.6,2.7,2.5,2.5,2.4,1.2,0.7,,,,
Anthony Tolliver,89.1,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0.0,,,
Corky Calhoun,87.5,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0,,,
Edgar Jones,87.5,3.4,3.4,2.6,2.4,2.3,0.9,,,,,
Kevin Restani,87.3,3.5,2.6,2.2,2.1,2.0,1.8,0.5,0.0,,,
Darius Songaila,87.1,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0.0,,,
Glen Gondrezick,86.7,3.6,3.1,3.1,2.7,2.5,0.9,,,,,
Howard Porter,85.6,4.1,3.9,2.7,2.4,2.4,1.1,1.0,,,,
Matt Bullard,83.7,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2,0.1
Scott Padgett,83.6,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,,,
Nick Weatherspoon,83.6,3.7,3.6,2.6,2.4,2.1,0.6,0.1,,,,
