Player,Sim,1,2,3,4,5,6,7
Omri Casspi,,3.6,2.7,2.5,2.5,2.4,1.2,0.7
Tom Hawkins,90.3,3.2,2.9,2.5,2.3,2.1,1.2,1.0
Corky Calhoun,87.7,3.1,2.5,2.3,2.2,2.1,1.3,1.0
Edgar Jones,87.5,3.4,3.4,2.6,2.4,2.3,0.9,
Kevin Restani,87.5,3.5,2.6,2.2,2.1,2.0,1.8,0.5
Darius Songaila,87.3,4.3,2.6,2.5,2.4,1.7,1.3,1.1
Glen Gondrezick,86.7,3.6,3.1,3.1,2.7,2.5,0.9,
Othella Harrington,85.8,3.8,3.0,3.0,2.5,2.2,1.7,1.4
Howard Porter,85.6,4.1,3.9,2.7,2.4,2.4,1.1,1.0
Sidney Green,85.2,3.4,2.7,2.5,2.0,1.7,0.6,0.3
Andrew DeClercq,85.2,3.4,3.1,2.9,2.5,1.6,1.0,0.4
