Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brian Skinner,,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1,0.0,0.0,0.0
Mike Sanders,83.4,3.9,3.1,2.7,2.0,1.8,1.2,1.0,0.8,0.8,0.6,0.1,,,
Ed Nealy,82.8,4.7,2.0,1.9,1.5,1.5,1.3,1.2,0.5,0.4,0.3,,,,
Bill Willoughby,82.2,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9,,,,,,
Francisco Garcia,81.8,4.2,3.0,2.4,2.4,1.8,1.6,1.3,1.0,0.8,-0.2,,,,
Brad Lohaus,81.6,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,,,
Darius Songaila,79.7,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0.0,,,,,,
Jared Jeffries,79.4,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3,,,
Chucky Brown,79.1,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0.1,0.0,
Ed Manning,79.0,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3,,,,,
Earl Cureton,78.7,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7,0.0,0.0,-0.1,,
