Minutes Per Game
1997-98 NBA 39.9 (8th)
2000-01 NBA 41.9 (3rd)
2001-02 NBA 42.0 (3rd)
2002-03 NBA 41.5 (5th)
Career NBA 35.3 (64th)
Career 35.3 (69th)
