Field Goals Missed
1996-97 NBA 778 (9th)
1997-98 NBA 983 (2nd)
1999-00 NBA 858 (5th)
2000-01 NBA 1009 (4th)
2001-02 NBA 1023 (1st)
2002-03 NBA 951 (4th)
2004-05 NBA 796 (7th)
Career NBA 8625 (45th)
Career 8625 (48th)
