Field Goal Attempts
1997-98 NBA 1705 (2nd)
1999-00 NBA 1506 (8th)
2000-01 NBA 1720 (5th)
2001-02 NBA 1689 (1st)
2002-03 NBA 1554 (7th)
2004-05 NBA 1377 (9th)
Career NBA 14710 (72nd)
Career 14710 (76th)
