Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Monta Ellis,,9.0,6.0,4.9,4.6,4.3,4.0,3.6,2.6,1.3,0.5,0.2,,,,
Wesley Person,86.1,10.3,6.9,5.2,4.0,3.8,3.7,3.3,2.6,1.6,1.3,1.2,,,,
Eddie Johnson,85.9,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8,,,,,
Kyle Macy,85.6,9.2,6.4,5.0,4.6,4.5,3.9,2.4,,,,,,,,
Lou Williams,84.8,6.6,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1,,,,
Eric Snow,84.7,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5,-0.1,,
Jay Humphries,84.6,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2.0,1.9,1.8,-0.4,,,,
Kendall Gill,84.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4
Mike Woodson,84.3,7.8,5.7,4.2,4.2,4.0,3.5,3.1,0.9,0.9,0.7,-0.2,,,,
Brian Winters,84.0,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,,,,
K.C. Jones,83.5,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,,,,,,
