Steals Per Game
2006-07 NBA 1.7 (8th)
2009-10 NBA 2.2 (2nd)
2010-11 NBA 2.1 (3rd)
2012-13 NBA 2.1 (4th)
2014-15 NBA 1.9 (8th)
2015-16 NBA 1.9 (10th)
Active 1.7 (7th)
Career NBA 1.7 (43rd)
Career 1.7 (45th)
