Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Dante Cunningham,,3.5,3.4,2.9,2.1,2.0,1.9,1.6,,,,
Greg Anderson,90.4,3.4,3.4,3.0,2.3,2.2,2.0,1.5,0.7,0.4,-0.3,
Duane Ferrell,86.0,3.5,3.2,2.8,1.9,1.9,1.2,1.0,0.4,0.0,-0.1,-0.2
Andrew DeClercq,85.8,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1.0,0.4,0.1,
Barry Clemens,85.2,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1
Sidney Green,85.0,3.4,2.7,2.5,2.0,1.9,1.9,1.7,0.6,0.4,0.3,
Kevin Restani,83.3,3.5,2.6,2.2,2.1,2.0,1.8,0.5,0.0,,,
Jeff Cook,82.8,4.5,3.7,2.4,2.3,2.2,2.0,0.6,0.1,,,
Anthony Tolliver,82.8,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0.0,,,
Andrea Bargnani,82.3,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,
Derek Strong,82.3,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,
