Player,Sim,1,2,3,4,5,6,7
Dante Cunningham,,3.5,3.4,2.9,2.1,2.0,1.9,1.6
J.R. Reid,93.6,3.5,3.4,3.0,2.5,2.1,1.8,1.1
Reggie Evans,92.2,3.8,3.0,2.7,2.3,2.1,1.9,1.7
Othella Harrington,90.8,3.8,3.0,3.0,2.5,2.2,1.7,1.4
Lorenzen Wright,90.3,3.2,3.2,3.1,2.5,2.2,2.2,1.4
Greg Anderson,85.9,3.4,3.4,3.0,2.3,2.0,1.5,-0.3
Tom McMillen,85.3,3.9,3.7,2.9,2.9,2.5,2.2,0.8
Fred Roberts,85.3,3.5,3.0,2.6,2.0,1.9,1.8,0.2
Charles Jones,84.8,3.8,3.2,2.8,2.2,2.2,1.6,0.0
Pat Cummings,84.0,4.2,4.0,3.3,2.7,2.5,1.8,1.5
Tom Hawkins,83.7,3.2,2.9,2.5,2.3,2.1,1.2,1.0
