Player,Sim,1,2,3,4,5,6,7,8
Cole Aldrich,,3.5,2.2,1.2,0.6,0.6,0.2,,
Zeljko Rebraca,91.0,3.3,2.4,1.3,0.7,0.5,,,
Stanley Roberts,84.9,3.2,2.1,1.8,0.7,0.5,0.0,-0.1,-0.1
Alexis Ajinca,79.4,3.2,2.1,1.0,0.4,0.0,-0.1,,
Travis Knight,77.4,3.3,3.0,1.1,0.6,0.2,-0.1,-0.3,
Carlos Rogers,73.0,4.0,2.2,2.0,0.9,0.9,0.5,0.5,0.0
Jim McIlvaine,71.7,3.0,1.9,1.8,1.5,0.8,0.3,0.1,
Jack Toomay,71.5,3.6,1.6,1.1,,,,,
Art Spoelstra,71.4,3.7,1.8,1.7,1.4,,,,
Bob Hopkins,71.2,3.5,2.7,1.9,1.4,,,,
Reggie Harding,71.1,3.1,2.6,1.6,0.0,,,,
