Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Brandon Roy,,13.5,9.1,8.0,4.8,2.1,0.0,,,,,
Jimmy Butler,82.6,11.2,9.1,7.1,7.0,1.1,,,,,,
Derrick Rose,80.2,13.1,6.0,6.0,4.9,1.2,0.4,-0.2,,,,
Damian Lillard,79.2,10.6,9.6,9.2,5.8,,,,,,,
Darel Carrier,77.2,8.7,8.0,7.8,4.9,0.9,0.2,,,,,
Klay Thompson,75.5,8.8,8.0,6.7,4.3,1.7,,,,,,
Isaiah Thomas,73.2,9.7,7.7,6.1,5.0,4.3,,,,,,
Glen Combs,72.6,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,,
Gilbert Arenas,72.4,13.6,11.5,10.8,6.5,2.7,2.6,1.8,0.6,0.5,0.4,0.2
Doug Collins,70.9,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,,
Mike Riordan,70.5,11.1,7.0,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1,,
