Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mehmet Okur,,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,
Larry Kenon,90.8,10.0,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,
Rodney McCray,88.8,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,
Rudy LaRusso,88.4,8.8,8.6,7.3,7.0,6.9,6.3,5.5,5.4,3.9,1.7,
Tom Heinsohn,87.7,9.3,7.7,7.1,6.8,6.6,6.5,6.2,6.0,3.6,,
Wally Szczerbiak,87.6,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,
Greg Ballard,87.5,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0
Bob Netolicky,86.7,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,
Danny Granger,85.9,8.0,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,
Red Robbins,85.9,10.7,9.3,7.0,6.9,6.7,3.9,3.7,2.3,,,
Bob Love,85.9,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2
