Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,634,460,18429,3028,6615,.458,596,1590,.375,2432,5025,.484,.503,1909,2396,.797,1261,3175,4436,1089,329,453,991,1815,8561
7 seasons,,UTA,NBA,,474,404,15029,2545,5511,.462,517,1358,.381,2028,4153,.488,.509,1648,2051,.804,962,2637,3599,919,259,346,799,1465,7255
2 seasons,,DET,NBA,,143,42,2946,431,965,.447,56,160,.350,375,805,.466,.476,258,340,.759,277,479,756,140,61,102,167,305,1176
1 season,,NJN,NBA,,17,14,454,52,139,.374,23,72,.319,29,67,.433,.457,3,5,.600,22,59,81,30,9,5,25,45,130
