Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,108,2941,,,6%,89%,6%,+4.5,-0.2,70,44,52,114,12,30,5,855,84,26,40
5 seasons,,SAS,NBA,,69,1580,,,2%,94%,4%,+8.5,+0.7,31,24,16,54,12,5,5,448,28,4,18
3 seasons,,PHO,NBA,,35,1209,,,10%,81%,8%,+2.0,+2.7,33,18,32,55,0,23,0,371,56,22,21
1 season,,CHA,NBA,,4,152,,,,99%,1%,-17.5,-32.9,6,2,4,5,0,2,0,36,0,0,1
