Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Chris Kaman,,6.1,3.6,3.3,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0.5,0.1,0.0,,,
Mikki Moore,83.9,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1,,,
Ian Mahinmi,82.9,6.2,3.4,3.3,2.3,2.1,1.8,0.7,0.2,,,,,,,,
Oliver Miller,82.5,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,,,,,,
Otto Moore,82.2,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,,,,,
Chris Dudley,82.1,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1.0,1.0,0.5,0.3,0.2,0.1,0.0,0.0
Andrew Lang,81.5,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,,,,
Mel Counts,80.3,5.0,4.3,4.2,2.9,2.7,2.0,1.9,1.5,1.5,1.0,0.4,0.3,,,,
Kendrick Perkins,78.6,6.2,5.6,5.2,2.5,2.3,2.0,1.4,1.0,0.8,0.7,0.1,0.1,-0.1,,,
Kosta Koufos,78.2,6.5,3.5,3.5,3.3,2.7,1.3,0.2,0.0,,,,,,,,
Bob Ferry,78.1,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0,,,,,,
