Offensive Box Plus/Minus
2004-05 NBA 6.9 (1st)
2005-06 NBA 7.9 (1st)
2006-07 NBA 5.4 (5th)
2007-08 NBA 9.0 (1st)
2008-09 NBA 9.4 (1st)
2009-10 NBA 9.7 (1st)
2010-11 NBA 6.5 (1st)
2011-12 NBA 8.3 (1st)
2012-13 NBA 9.2 (1st)
2013-14 NBA 8.0 (2nd)
2014-15 NBA 6.2 (5th)
2015-16 NBA 6.9 (6th)
2016-17 NBA 6.2 (9th)
Active 7.3 (1st)
Career NBA 7.3 (1st)
Career 7.3 (1st)
