Assists Per Game
2004-05 NBA 7.2 (6th)
2007-08 NBA 7.2 (8th)
2008-09 NBA 7.2 (9th)
2009-10 NBA 8.6 (6th)
2013-14 NBA 6.3 (10th)
2014-15 NBA 7.4 (7th)
2015-16 NBA 6.8 (9th)
2016-17 NBA 8.6 (5th)
Active 7.0 (6th)
Career NBA 7.0 (27th)
Career 7.0 (27th)
