Offensive Win Shares
2004-05 NBA 9.7 (5th)
2005-06 NBA 12.0 (3rd)
2006-07 NBA 8.0 (7th)
2007-08 NBA 10.7 (3rd)
2008-09 NBA 13.7 (1st)
2009-10 NBA 13.3 (1st)
2010-11 NBA 10.3 (1st)
2011-12 NBA 10.0 (2nd)
2012-13 NBA 14.6 (1st)
2013-14 NBA 12.3 (2nd)
2014-15 NBA 7.4 (8th)
2015-16 NBA 9.6 (5th)
2016-17 NBA 5.3 (8th)
Active 139.4 (2nd)
Career NBA 139.4 (9th)
Career 139.4 (9th)
