Awards
2003-04 Rookie of the Year
2003-04 Sporting News Rookie of the Year
2006 All-Star Game Most Valuable Player
2005-06 Sporting News MVP
2008 All-Star Game Most Valuable Player
2008-09 Most Valuable Player
2009-10 Most Valuable Player
2012 Finals Most Valuable Player
2011-12 Most Valuable Player
2013 Finals Most Valuable Player
2012-13 Most Valuable Player
2016 Finals Most Valuable Player
