Turnovers
2003-04 NBA 273 (3rd)
2004-05 NBA 262 (5th)
2005-06 NBA 260 (6th)
2006-07 NBA 250 (7th)
2007-08 NBA 255 (6th)
2008-09 NBA 241 (4th)
2009-10 NBA 261 (5th)
2010-11 NBA 284 (2nd)
2011-12 NBA 213 (6th)
2013-14 NBA 270 (4th)
2014-15 NBA 272 (5th)
2015-16 NBA 249 (9th)
2016-17 NBA 188 (4th)
Active 3504 (2nd)
Career NBA 3504 (11th)
Career 3504 (13th)
