Player Efficiency Rating
2004-05 NBA 25.7 (6th)
2005-06 NBA 28.1 (2nd)
2006-07 NBA 24.5 (6th)
2007-08 NBA 29.1 (1st)
2008-09 NBA 31.7 (1st)
2009-10 NBA 31.1 (1st)
2010-11 NBA 27.3 (1st)
2011-12 NBA 30.7 (1st)
2012-13 NBA 31.6 (1st)
2013-14 NBA 29.3 (2nd)
2014-15 NBA 25.9 (6th)
2015-16 NBA 27.5 (4th)
Active 27.6 (1st)
Career NBA 27.6 (2nd)
Career 27.6 (2nd)
