Defensive Win Shares
2006-07 NBA 5.7 (4th)
2008-09 NBA 6.5 (2nd)
2009-10 NBA 5.2 (3rd)
2010-11 NBA 5.3 (3rd)
2011-12 NBA 4.5 (2nd)
2012-13 NBA 4.7 (10th)
Active 60.7 (3rd)
Career NBA 60.7 (28th)
Career 60.7 (30th)
