Field Goal Attempts
2003-04 NBA 1492 (4th)
2004-05 NBA 1684 (2nd)
2005-06 NBA 1823 (2nd)
2006-07 NBA 1621 (2nd)
2007-08 NBA 1642 (2nd)
2008-09 NBA 1613 (4th)
2009-10 NBA 1528 (3rd)
2010-11 NBA 1485 (6th)
2011-12 NBA 1169 (4th)
2012-13 NBA 1354 (7th)
2013-14 NBA 1353 (10th)
2014-15 NBA 1279 (8th)
2015-16 NBA 1416 (7th)
Active 20273 (2nd)
Career NBA 20273 (14th)
Career 20273 (19th)
