Value Over Replacement Player
2004-05 NBA 8.8 (2nd)
2005-06 NBA 9.5 (1st)
2006-07 NBA 7.6 (1st)
2007-08 NBA 10.1 (1st)
2008-09 NBA 11.6 (1st)
2009-10 NBA 10.9 (1st)
2010-11 NBA 8.2 (1st)
2011-12 NBA 7.6 (1st)
2012-13 NBA 9.8 (1st)
2013-14 NBA 8.0 (2nd)
2014-15 NBA 5.9 (5th)
2015-16 NBA 7.6 (3rd)
2016-17 NBA 4.3 (5th)
Active 112.9 (1st)
Career NBA 112.9 (1st)
Career 112.9 (1st)
