Free Throw Attempts
2004-05 NBA 636 (10th)
2005-06 NBA 814 (3rd)
2006-07 NBA 701 (3rd)
2007-08 NBA 771 (3rd)
2008-09 NBA 762 (3rd)
2009-10 NBA 773 (3rd)
2010-11 NBA 663 (5th)
2011-12 NBA 502 (2nd)
2012-13 NBA 535 (6th)
2013-14 NBA 585 (8th)
2014-15 NBA 528 (4th)
Active 8546 (2nd)
Career NBA 8546 (12th)
Career 8546 (13th)
