Steals Per Game
2004-05 NBA 2.2 (3rd)
2007-08 NBA 1.8 (10th)
2008-09 NBA 1.7 (8th)
2009-10 NBA 1.6 (9th)
2010-11 NBA 1.6 (10th)
2011-12 NBA 1.9 (3rd)
Active 1.7 (8th)
Career NBA 1.7 (48th)
Career 1.7 (51st)
