2-Pt Field Goal Pct
2009-10 NBA .560 (7th)
2010-11 NBA .552 (9th)
2011-12 NBA .556 (9th)
2012-13 NBA .602 (2nd)
2013-14 NBA .622 (3rd)
2014-15 NBA .536 (10th)
2015-16 NBA .573 (5th)
Career NBA .540 (36th)
Career .540 (37th)
