2-Pt Field Goals
2003-04 NBA 559 (5th)
2004-05 NBA 687 (2nd)
2005-06 NBA 748 (3rd)
2006-07 NBA 673 (2nd)
2007-08 NBA 681 (4th)
2008-09 NBA 657 (4th)
2009-10 NBA 639 (7th)
2010-11 NBA 666 (4th)
2011-12 NBA 567 (1st)
2012-13 NBA 662 (1st)
2013-14 NBA 651 (4th)
2015-16 NBA 650 (1st)
2016-17 NBA 357 (8th)
Active 8701 (2nd)
Career NBA 8701 (20th)
Career 8701 (25th)
