Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,TOT,,12,12,363,119,232,.513,28,82,.341,25,34,.735,9,75,75,17,2,38,12,291
,,,NBA,,12,12,363,119,232,.513,28,82,.341,25,34,.735,9,75,75,17,2,38,12,291
,,,,,0,0,,,,,,,,,,,,,,,,,,
