Field Goals Missed
2003-04 NBA 870 (3rd)
2004-05 NBA 889 (3rd)
2005-06 NBA 948 (3rd)
2006-07 NBA 849 (4th)
2007-08 NBA 848 (4th)
2008-09 NBA 824 (4th)
2009-10 NBA 760 (9th)
2010-11 NBA 727 (8th)
2014-15 NBA 655 (9th)
Active 10157 (5th)
Career NBA 10157 (21st)
Career 10157 (26th)
