2-Pt Field Goals
1996-97 NBA 615 (7th)
1997-98 NBA 612 (9th)
1998-99 NBA 384 (6th)
1999-00 NBA 662 (6th)
Career NBA 6126 (88th)
Career 6126 (93rd)
