Free Throw Attempts
1994-95 NBA 511 (10th)
1995-96 NBA 646 (6th)
1996-97 NBA 633 (3rd)
1997-98 NBA 647 (5th)
1998-99 NBA 379 (7th)
1999-00 NBA 604 (6th)
Career NBA 5498 (62nd)
Career 5498 (68th)
