2-Pt Field Goal Attempts
1995-96 NBA 1195 (9th)
1996-97 NBA 1226 (10th)
1997-98 NBA 1340 (4th)
1998-99 NBA 788 (8th)
1999-00 NBA 1324 (8th)
Career NBA 12429 (97th)
