Value Over Replacement Player
1995-96 NBA 5.8 (6th)
1996-97 NBA 7.9 (1st)
1997-98 NBA 5.6 (5th)
1998-99 NBA 3.8 (3rd)
Career NBA 42.5 (44th)
Career 42.5 (46th)
