Player,Sim,1,2,3,4,5,6,7,8,9,10
J.J. Redick,,6.7,6.7,6.5,5.2,4.5,4.5,3.0,2.3,1.7,0.5
Tyrone Corbin,92.7,6.8,6.7,5.6,5.4,5.4,4.4,3.0,2.1,1.2,0.1
Antonio Daniels,90.1,6.8,6.6,5.9,5.8,5.3,4.3,3.6,2.3,1.8,-1.3
Eddie Johnson,89.4,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8
Dick McGuire,88.9,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4.0,2.1,1.3
Brian Winters,88.4,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,
K.C. Jones,88.2,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,
Latrell Sprewell,88.2,8.1,8.0,6.6,5.5,5.1,4.0,3.0,2.8,2.0,0.4
Kyle Korver,88.1,6.6,6.4,5.3,5.1,4.6,4.6,4.2,3.7,2.6,1.0
Lou Williams,88.0,6.6,6.1,5.2,5.1,4.4,3.4,2.6,2.4,1.1,-0.1
Slater Martin,87.8,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,1.4
