Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Career,,,NBA,,81,41,1986,7.1,16.8,.422,3.1,8.4,.368,4.0,8.4,.477,3.3,3.7,.894,0.3,3.0,3.3,3.3,1.1,0.2,2.4,3.7,20.6,,107,111
6 seasons,,ORL,NBA,,44,8,860,6.1,15.7,.390,2.7,8.0,.336,3.4,7.7,.446,4.1,4.8,.853,0.4,3.4,3.8,4.7,1.3,0.1,2.6,4.0,19.0,,106,107
3 seasons,,LAC,NBA,,33,33,1057,7.7,17.5,.442,3.4,8.6,.391,4.4,8.8,.492,2.8,3.0,.938,0.2,2.8,3.0,2.2,1.0,0.3,2.1,3.3,21.6,,108,114
1 season,,MIL,NBA,,4,0,69,8.4,19.2,.440,3.1,9.2,.333,5.4,10.0,.538,2.3,2.3,1.000,0.0,2.3,2.3,3.8,0.8,0.0,4.6,6.9,22.2,,92,116
